Unnamed: 0,price,quantity,type,timestamp
,100128000.0,0.067,0.0,2024-04-09 17:52:07.314429
,100114000.0,0.0207,0.0,2024-04-09 17:52:07.314429
,100112000.0,0.0207,0.0,2024-04-09 17:52:07.314429
,100106000.0,0.0001,0.0,2024-04-09 17:52:07.314429
,100105000.0,0.0001,0.0,2024-04-09 17:52:07.314429
,100154000.0,0.0842,1.0,2024-04-09 17:52:07.314429
,100155000.0,0.0065,1.0,2024-04-09 17:52:07.314429
,100156000.0,0.1873,1.0,2024-04-09 17:52:07.314429
,100160000.0,0.045,1.0,2024-04-09 17:52:07.314429
,100168000.0,1.3672,1.0,2024-04-09 17:52:07.314429
,100128000.0,0.017,0.0,2024-04-09 17:52:12.149341
,100123000.0,0.0997,0.0,2024-04-09 17:52:12.149341
,100115000.0,0.0109,0.0,2024-04-09 17:52:12.149341
,100114000.0,0.0207,0.0,2024-04-09 17:52:12.149341
,100112000.0,0.0207,0.0,2024-04-09 17:52:12.149341
,100154000.0,0.0114,1.0,2024-04-09 17:52:12.149341
,100155000.0,0.0162,1.0,2024-04-09 17:52:12.149341
,100156000.0,0.1873,1.0,2024-04-09 17:52:12.149341
,100160000.0,0.045,1.0,2024-04-09 17:52:12.149341
,100168000.0,1.3672,1.0,2024-04-09 17:52:12.149341
,100128000.0,0.0502,0.0,2024-04-09 17:52:17.219305
,100122000.0,0.0997,0.0,2024-04-09 17:52:17.219305
,100121000.0,0.0999,0.0,2024-04-09 17:52:17.219305
,100114000.0,0.0207,0.0,2024-04-09 17:52:17.219305
,100106000.0,0.0072,0.0,2024-04-09 17:52:17.219305
,100156000.0,0.1844,1.0,2024-04-09 17:52:17.219305
,100160000.0,0.045,1.0,2024-04-09 17:52:17.219305
,100168000.0,1.3672,1.0,2024-04-09 17:52:17.219305
,100170000.0,0.0003,1.0,2024-04-09 17:52:17.219305
,100176000.0,0.0003,1.0,2024-04-09 17:52:17.219305
,100123000.0,0.1069,0.0,2024-04-09 17:52:22.125397
,100122000.0,0.0997,0.0,2024-04-09 17:52:22.125397
,100121000.0,0.0999,0.0,2024-04-09 17:52:22.125397
,100106000.0,0.0072,0.0,2024-04-09 17:52:22.125397
,100105000.0,0.0001,0.0,2024-04-09 17:52:22.125397
,100128000.0,0.0469,1.0,2024-04-09 17:52:22.125397
,100156000.0,0.0,1.0,2024-04-09 17:52:22.125397
,100160000.0,0.045,1.0,2024-04-09 17:52:22.125397
,100168000.0,1.3672,1.0,2024-04-09 17:52:22.125397
,100170000.0,0.0003,1.0,2024-04-09 17:52:22.125397
