Unnamed: 0,price,quantity,type,timestamp
,100599000.0,0.7052,0.0,2024-04-11 17:13:14.429153
,100598000.0,0.6131,0.0,2024-04-11 17:13:14.429153
,100597000.0,0.5238,0.0,2024-04-11 17:13:14.429153
,100594000.0,0.0173,0.0,2024-04-11 17:13:14.429153
,100593000.0,0.0512,0.0,2024-04-11 17:13:14.429153
,100630000.0,0.0113,1.0,2024-04-11 17:13:14.429153
,100634000.0,0.0102,1.0,2024-04-11 17:13:14.429153
,100636000.0,0.294,1.0,2024-04-11 17:13:14.429153
,100637000.0,0.0002,1.0,2024-04-11 17:13:14.429153
,100640000.0,0.0003,1.0,2024-04-11 17:13:14.429153
,100600000.0,0.0797,0.0,2024-04-11 17:13:19.241750
,100599000.0,0.726,0.0,2024-04-11 17:13:19.241750
,100598000.0,0.6607,0.0,2024-04-11 17:13:19.241750
,100597000.0,0.5348,0.0,2024-04-11 17:13:19.241750
,100596000.0,0.022,0.0,2024-04-11 17:13:19.241750
,100634000.0,0.0028,1.0,2024-04-11 17:13:19.241750
,100636000.0,0.294,1.0,2024-04-11 17:13:19.241750
,100637000.0,0.0002,1.0,2024-04-11 17:13:19.241750
,100640000.0,0.0003,1.0,2024-04-11 17:13:19.241750
,100654000.0,0.0586,1.0,2024-04-11 17:13:19.241750
