Unnamed: 0,price,quantity,type,timestamp
,5100000.0,1.0265,0.0,2024-04-11 17:13:13.834375
,5099000.0,1.2218,0.0,2024-04-11 17:13:13.834375
,5098000.0,2.2514,0.0,2024-04-11 17:13:13.834375
,5097000.0,3.0,0.0,2024-04-11 17:13:13.834375
,5096000.0,3.0011,0.0,2024-04-11 17:13:13.834375
,5101000.0,2.0433,1.0,2024-04-11 17:13:13.834375
,5103000.0,4.6573,1.0,2024-04-11 17:13:13.834375
,5104000.0,48.2467,1.0,2024-04-11 17:13:13.834375
,5105000.0,0.008,1.0,2024-04-11 17:13:13.834375
,5106000.0,4.1516,1.0,2024-04-11 17:13:13.834375
,5100000.0,1.6282,0.0,2024-04-11 17:13:18.811830
,5099000.0,1.2218,0.0,2024-04-11 17:13:18.811830
,5098000.0,2.2514,0.0,2024-04-11 17:13:18.811830
,5097000.0,3.0,0.0,2024-04-11 17:13:18.811830
,5096000.0,3.0011,0.0,2024-04-11 17:13:18.811830
,5101000.0,1.7249,1.0,2024-04-11 17:13:18.811830
,5103000.0,4.6573,1.0,2024-04-11 17:13:18.811830
,5104000.0,48.2467,1.0,2024-04-11 17:13:18.811830
,5105000.0,0.3196,1.0,2024-04-11 17:13:18.811830
,5106000.0,3.84,1.0,2024-04-11 17:13:18.811830
