Unnamed: 0,price,quantity,type,timestamp
,5132000.0,2.0867,0.0,2024-04-09 17:33:08.679811
,5131000.0,2.1994,0.0,2024-04-09 17:33:08.679811
,5130000.0,3.8714,0.0,2024-04-09 17:33:08.679811
,5129000.0,4.097,0.0,2024-04-09 17:33:08.679811
,5128000.0,19.871,0.0,2024-04-09 17:33:08.679811
,5133000.0,1.0606,1.0,2024-04-09 17:33:08.679811
,5135000.0,0.0001,1.0,2024-04-09 17:33:08.679811
,5137000.0,5.4812,1.0,2024-04-09 17:33:08.679811
,5138000.0,21.8685,1.0,2024-04-09 17:33:08.679811
,5139000.0,11.5199,1.0,2024-04-09 17:33:08.679811
,5132000.0,2.1006,0.0,2024-04-09 17:33:15.374766
,5131000.0,4.8194,0.0,2024-04-09 17:33:15.374766
,5130000.0,1.2514,0.0,2024-04-09 17:33:15.374766
,5129000.0,7.0989,0.0,2024-04-09 17:33:15.374766
,5128000.0,20.871,0.0,2024-04-09 17:33:15.374766
,5138000.0,4.5269,1.0,2024-04-09 17:33:15.374766
,5139000.0,26.9097,1.0,2024-04-09 17:33:15.374766
,5140000.0,6.7453,1.0,2024-04-09 17:33:15.374766
,5141000.0,6.6217,1.0,2024-04-09 17:33:15.374766
,5142000.0,2.6892,1.0,2024-04-09 17:33:15.374766
