price,quantity,type,timestamp
99418000,0.0002,1,01:23.5
99468000,0.0008,1,01:23.5
99474000,0.1,1,01:23.5
99475000,0.0521,1,01:23.5
99488000,1.8629,1,01:23.5
99391000,0.0015,0,01:28.5
99386000,0.0643,0,01:28.5
99385000,0.0288,0,01:28.5
99376000,0.003,0,01:28.5
99368000,0.0629,0,01:28.5
99465000,0.1,1,01:28.5
99467000,0.0599,1,01:28.5
99468000,0.0008,1,01:28.5
99475000,0.0521,1,01:28.5
99488000,1.8629,1,01:28.5
99391000,0.0017,0,01:33.5
99386000,0.0643,0,01:33.5
99385000,0.0288,0,01:33.5
99376000,0.003,0,01:33.5
99368000,0.0629,0,01:33.5
99466000,0.0966,1,01:33.5
99468000,0.0008,1,01:33.5
99475000,0.0521,1,01:33.5
99488000,1.8629,1,01:33.5
99492000,0.0805,1,01:33.5
