price,quantity,type,timestamp
4808000,19.0309,1,01:23.5
4798000,0.0905,0,01:28.5
4797000,2.1233,0,01:28.5
4796000,18.0073,0,01:28.5
4795000,4.9206,0,01:28.5
4794000,7.6317,0,01:28.5
4804000,1.16,1,01:28.5
4805000,3.4403,1,01:28.5
4806000,6.8507,1,01:28.5
4807000,4,1,01:28.5
4808000,19.0329,1,01:28.5
4798000,0.0905,0,01:33.5
4797000,2.1235,0,01:33.5
4796000,3.0073,0,01:33.5
4795000,19.9206,0,01:33.5
4794000,7.6316,0,01:33.5
4803000,1.1559,1,01:33.5
4804000,3.07,1,01:33.5
4805000,3.7711,1,01:33.5
4806000,6.45,1,01:33.5
4807000,4,1,01:33.5
