,price,quantity,type
0,99444000,0.001,0
1,99443000,0.001,0
2,99442000,0.0336,0
3,99440000,0.269,0
4,99439000,0.0022,0
5,99432000,0.002,0
6,99431000,0.0001,0
7,99409000,0.0085,0
8,99403000,0.308,0
9,99401000,0.0192,0
10,99456000,0.0001,1
11,99460000,0.0668,1
12,99461000,0.0002,1
13,99463000,0.0081,1
14,99464000,0.3247,1
15,99468000,0.0114,1
16,99470000,0.0009,1
17,99471000,0.0036,1
18,99472000,0.0578,1
19,99477000,0.0066,1
